職缺名稱,公司,地點,薪資,來源,發布日期,適合度分數,評分原因,連結,職缺描述,要求條件
Data Scientist / Business Analyst｜資料科學家 / 商業分析師,恩沛科技股份有限公司,台北市中山區,面議,104,20260518,100.0,"技能匹配(10): sql, python, a/b testing, tableau, data pipeline, 自動化; 職稱完全匹配: business analyst; 地點符合: 台北市中山區; [技能40+職稱30+關鍵字20+地點10]",https://www.104.com.tw/job/8rxox,"■ 團隊介紹

在 Net Protections (TW),我們相信好的商業決策來自對資料的深入理解與精準詮釋。如果你渴望從「被動處理需求的分析師」轉變為「主動驅動產品策略的資料專家」,這裡會是你發揮商業影響力的絕佳舞台。

我們重視扁平且彈性的工作文化,團隊規模精實,直接與產品、行銷、工程跨部門協作。技術上,我們以 AWS Athena + Sagemaker 作為主要分析平台,並正積極導入 ...",
Growth Data Analyst,Crypto.com,台北,面議,LinkedIn,2026-05-12,99.3,"技能匹配(7): sql, python, dashboard, tableau, data pipeline, 數據分析; 職稱完全匹配: data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字19+地點10]",https://tw.linkedin.com/jobs/view/growth-data-analyst-at-crypto-com-4401918816,"Responsibilities Design, develop, and maintain interactive dashboards in Tableau to support both recurring and ad-hoc reporting needs across various growth functions and leadership teams, enabling rea...",
"Senior Data Analyst - Recommendation, Feeds, Growth (AI/LLM)",Binance,台北,面議,LinkedIn,2026-05-14,99.3,"技能匹配(9): sql, python, tableau, machine learning, 機器學習, 數據分析; 職稱完全匹配: senior data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字19+地點10]",https://tw.linkedin.com/jobs/view/senior-data-analyst-recommendation-feeds-growth-ai-llm-at-binance-4344450541,Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by 300+ million people in 100+ countries for ...,
Data Analyst / Senior Data Analyst (Enterprise Solution),Appier,台北,面議,LinkedIn,2026-05-06,98.7,"技能匹配(9): sql, python, a/b testing, dashboard, tableau, data pipeline; 職稱完全匹配: senior data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字19+地點10]",https://tw.linkedin.com/jobs/view/data-analyst-senior-data-analyst-enterprise-solution-at-appier-4346561391,"About Appier Appier is a software-as-a-service (SaaS) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s miss...",
"Senior Data Analyst, Affiliate Marketing",Coupang,台北,面議,LinkedIn,2026-05-08,98.0,"技能匹配(11): sql, python, dashboard, tableau, data pipeline, etl; 職稱完全匹配: senior data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字18+地點10]",https://tw.linkedin.com/jobs/view/senior-data-analyst-affiliate-marketing-at-coupang-4411347653,Company Introduction Coupang is reimagining the shopping experience with the goal of wowing each customer from the instant they open the Coupang app to the moment an order is delivered to their door. ...,
Senior Data Scientist / Machine Learning Engineer ( 資深 數據分析 師）,深智科技股份有限公司,"新北市, 台灣 ・ 永和區, 新北市, 台灣",7萬 ~ 12萬 TWD / 月,CakeResume,,97.3,"技能匹配(12): sql, bigquery, python, pandas, scikit-learn, xgboost; 職稱完全匹配: data scientist; 地點符合: 新北市, 台灣 ・ 永和區, 新北市, 台灣; [技能40+職稱30+關鍵字17+地點10]",https://www.cake.me/companies/nexretail/jobs/senior-data-scientist-machine-learning-engineer-data-analyst,"Senior Data Scientist / Machine Learning Engineer
Price Intelligence & Demand Optimization
我們正在尋找一位兼具
數學能力、程式能力與商業思維
的 Senior Data Scientist / Machine Learning Engineer，負責打造一套從 0 到 1 的
Price Intellige...",
(Sr.) Data Analyst,趨勢科技,台北,面議,LinkedIn,2026-05-13,97.3,"技能匹配(6): sql, dashboard, tableau, 數據分析, 資料分析, data analytics; 職稱完全匹配: data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字17+地點10]",https://tw.linkedin.com/jobs/view/sr-data-analyst-at-trendai-4383700271,"Join Trend ‧ Join New Generation 趨勢科技 - 全球雲端資安領航者 / 全亞洲最大軟體公司 / 企業版圖橫跨五大洲 / 趨勢全球研發基地在台灣 =============================================================== Overview BIF team, part of the Research & Develo...",
(Sr.) Data Analyst,趨勢科技,台北,面議,LinkedIn,2026-05-12,97.3,"技能匹配(6): sql, dashboard, tableau, 數據分析, 資料分析, data analytics; 職稱完全匹配: data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字17+地點10]",https://tw.linkedin.com/jobs/view/sr-data-analyst-at-trendai-4383702135,"Join Trend ‧ Join New Generation 趨勢科技 - 全球雲端資安領航者 / 全亞洲最大軟體公司 / 企業版圖橫跨五大洲 / 趨勢全球研發基地在台灣 =============================================================== Overview BIF team, part of the Research & Develo...",
Binance Accelerator Program - Research Data Analyst,Binance,台北,面議,LinkedIn,2026-05-21,96.7,"技能匹配(7): sql, python, machine learning, 機器學習, etl, 數據分析; 職稱完全匹配: data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字17+地點10]",https://tw.linkedin.com/jobs/view/binance-accelerator-program-research-data-analyst-at-binance-4407088003,Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by 300+ million people in 100+ countries for ...,
B2C Business Data Analyst 數據分析師 / 蝦皮直營,Shopee,台北,面議,LinkedIn,2026-05-07,96.3,"技能匹配(9): sql, python, forecasting, dashboard, tableau, data pipeline; 職稱完全匹配: data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字16+地點10]",https://tw.linkedin.com/jobs/view/b2c-business-data-analyst-%E6%95%B8%E6%93%9A%E5%88%86%E6%9E%90%E5%B8%AB-%E8%9D%A6%E7%9A%AE%E7%9B%B4%E7%87%9F-at-shopee-4360899091,"Job Description Partner with business stakeholders (e.g. commercial, marketing, operations, sourcing) to identify core business questions and design analysis plans to answer them. Perform deep-dive an...",
